Date,Time,Temperature,Humidity
01/21/21,21:04,24.1*C,34.3%
01/21/21,21:04,24.1*C,34.3%
01/21/21,21:05,24.1*C,34.3%
01/21/21,21:05,24.2*C,34.3%
01/21/21,21:06,24.1*C,34.3%
01/21/21,21:07,24.1*C,34.3%
01/21/21,21:07,24.1*C,34.3%
01/21/21,21:08,24.1*C,34.4%
01/21/21,21:08,24.1*C,34.4%
01/21/21,21:09,24.1*C,34.4%
01/21/21,21:09,24.0*C,34.4%
01/21/21,21:10,24.0*C,34.4%
01/21/21,21:10,24.0*C,34.4%
01/21/21,21:11,24.0*C,34.5%
01/21/21,21:11,24.0*C,34.5%
01/21/21,21:12,24.0*C,34.5%
01/21/21,21:12,24.0*C,34.5%
01/21/21,21:13,24.0*C,34.6%
01/21/21,21:13,24.0*C,34.6%
01/21/21,21:14,24.0*C,34.6%
01/21/21,21:14,24.0*C,34.4%
01/21/21,21:15,24.0*C,34.5%
01/21/21,21:15,24.0*C,34.5%
01/21/21,21:16,24.0*C,34.6%
01/21/21,21:16,24.0*C,34.6%
01/21/21,21:17,24.0*C,34.6%
01/21/21,21:17,24.0*C,34.7%
01/21/21,21:18,23.9*C,34.6%
01/21/21,21:18,23.9*C,34.6%
01/21/21,21:19,23.9*C,34.6%
01/21/21,21:19,23.9*C,34.6%
01/21/21,21:20,23.9*C,34.6%
01/21/21,21:20,23.9*C,34.7%
01/21/21,21:21,23.9*C,34.6%
01/21/21,21:21,23.9*C,34.7%
01/21/21,21:22,23.9*C,34.7%
01/21/21,21:23,23.9*C,34.7%
01/21/21,21:23,23.9*C,34.6%
01/21/21,21:24,23.9*C,34.6%
01/21/21,21:24,23.9*C,34.6%
01/21/21,21:25,23.9*C,34.6%
01/21/21,21:25,23.9*C,34.7%
01/21/21,21:26,23.9*C,34.7%
01/21/21,21:26,23.9*C,34.7%
01/21/21,21:27,23.9*C,34.7%
01/21/21,21:27,23.9*C,34.7%
01/21/21,21:28,23.9*C,34.8%
01/21/21,21:28,23.9*C,34.8%
01/21/21,21:29,23.9*C,34.8%
01/21/21,21:29,23.9*C,34.8%
01/21/21,21:30,23.9*C,34.8%
01/21/21,21:30,23.9*C,34.8%
01/21/21,21:31,23.9*C,35.0%
01/21/21,21:31,24.0*C,35.0%
01/21/21,21:32,23.9*C,34.7%
01/21/21,21:32,23.9*C,34.8%
01/21/21,21:33,23.9*C,34.8%
01/21/21,21:33,23.9*C,34.9%
01/21/21,21:34,23.9*C,34.9%
01/21/21,21:34,23.9*C,35.0%
01/21/21,21:35,23.9*C,35.0%
01/21/21,21:35,23.9*C,35.0%
01/21/21,21:36,23.9*C,35.0%
01/21/21,21:36,23.9*C,34.9%
01/21/21,21:37,23.9*C,35.0%
01/21/21,21:37,23.9*C,35.0%
01/21/21,21:38,23.9*C,35.0%
01/21/21,21:38,23.9*C,35.1%
01/21/21,21:39,23.9*C,35.0%
01/21/21,21:39,23.9*C,35.1%
01/21/21,21:40,23.9*C,35.1%
01/21/21,21:41,23.9*C,35.0%
01/21/21,21:41,23.9*C,35.0%
01/21/21,21:42,23.9*C,35.1%
01/21/21,21:42,23.9*C,35.0%
01/21/21,21:43,23.9*C,35.0%
01/21/21,21:43,23.9*C,35.0%
01/21/21,21:44,23.9*C,34.9%
01/21/21,21:44,23.9*C,34.9%
01/21/21,21:45,23.9*C,34.9%
01/21/21,21:45,23.9*C,34.9%
01/21/21,21:46,23.9*C,34.9%
01/21/21,21:46,23.9*C,34.9%
01/21/21,21:47,23.9*C,35.0%
01/21/21,21:47,23.9*C,35.0%
01/21/21,21:48,23.9*C,35.0%
01/21/21,21:48,23.9*C,35.0%
01/21/21,21:49,23.9*C,35.0%
01/21/21,21:49,23.9*C,35.0%
01/21/21,21:50,23.9*C,35.0%
01/21/21,21:50,23.9*C,35.0%
01/21/21,21:51,23.9*C,35.0%
01/21/21,21:51,23.9*C,35.0%
01/21/21,21:52,23.9*C,35.0%
01/21/21,21:52,23.9*C,35.0%
01/21/21,21:53,23.9*C,35.0%
01/21/21,21:53,23.9*C,35.0%
01/21/21,21:54,23.9*C,35.0%
01/21/21,21:54,23.9*C,34.9%
01/21/21,21:55,23.9*C,35.0%
01/21/21,21:55,23.9*C,35.0%
01/21/21,21:56,23.9*C,34.9%
01/21/21,21:56,23.9*C,35.0%
01/21/21,21:57,23.9*C,35.0%
01/21/21,21:57,23.9*C,35.0%
01/21/21,21:58,23.9*C,34.9%
01/21/21,21:58,23.9*C,34.9%
01/21/21,21:59,23.9*C,35.0%
01/21/21,21:59,23.9*C,34.9%
01/21/21,22:00,23.9*C,34.9%
01/21/21,22:00,23.9*C,34.9%
01/21/21,22:01,23.9*C,34.9%
01/21/21,22:02,23.9*C,34.9%
01/21/21,22:02,23.9*C,34.9%
01/21/21,22:03,23.9*C,34.9%
01/21/21,22:03,23.9*C,34.9%
01/21/21,22:04,23.9*C,34.9%
01/21/21,22:04,23.9*C,34.9%
01/21/21,22:05,23.9*C,35.0%
01/21/21,22:05,23.9*C,35.7%
01/21/21,22:06,23.9*C,35.1%
01/21/21,22:06,23.9*C,35.0%
01/21/21,22:07,23.9*C,34.8%
01/21/21,22:07,23.9*C,34.7%
01/21/21,22:08,23.9*C,34.8%
01/21/21,22:08,23.8*C,34.9%
01/21/21,22:09,23.8*C,34.8%
01/21/21,22:09,23.8*C,34.9%
01/21/21,22:10,23.8*C,34.8%
01/21/21,22:10,23.8*C,34.9%
01/21/21,22:11,23.8*C,34.9%
01/21/21,22:11,23.8*C,34.9%
01/21/21,22:12,23.8*C,34.9%
01/21/21,22:12,23.7*C,35.0%
01/21/21,22:13,23.7*C,35.0%
01/21/21,22:13,23.7*C,35.0%
01/21/21,22:14,23.7*C,35.0%
01/21/21,22:14,23.7*C,35.0%
01/21/21,22:15,23.7*C,35.0%
01/21/21,22:15,23.7*C,35.1%
01/21/21,22:16,23.6*C,35.0%
01/21/21,22:16,23.6*C,35.0%
01/21/21,22:17,23.6*C,35.0%
01/21/21,22:18,23.6*C,35.1%
01/21/21,22:18,23.6*C,35.1%
01/21/21,22:19,23.6*C,35.1%
01/21/21,22:19,23.6*C,35.2%
01/21/21,22:20,23.5*C,35.2%
01/21/21,22:20,23.5*C,35.2%
01/21/21,22:21,23.5*C,35.2%
01/21/21,22:21,23.5*C,35.2%
01/21/21,22:22,23.5*C,35.2%
01/21/21,22:22,23.5*C,35.2%
01/21/21,22:23,23.4*C,35.1%
01/21/21,22:23,23.5*C,35.2%
01/21/21,22:24,23.4*C,35.1%
01/21/21,22:24,23.4*C,35.1%
01/21/21,22:25,23.4*C,35.1%
01/21/21,22:25,23.4*C,35.3%
01/21/21,22:26,23.4*C,35.2%
01/21/21,22:26,23.4*C,35.3%
01/21/21,22:27,23.3*C,35.3%
01/21/21,22:27,23.3*C,35.3%
01/21/21,22:28,23.3*C,35.3%
01/21/21,22:28,23.3*C,35.4%
01/21/21,22:29,23.3*C,35.4%
01/21/21,22:29,23.3*C,35.4%
01/21/21,22:30,23.2*C,35.3%
01/21/21,22:30,23.2*C,35.4%
01/21/21,22:31,23.2*C,35.4%
01/21/21,22:31,23.2*C,35.5%
01/21/21,22:32,23.2*C,35.5%
01/21/21,22:32,23.2*C,35.6%
01/21/21,22:33,23.1*C,35.5%
01/21/21,22:34,23.0*C,35.7%
01/21/21,22:34,23.1*C,35.7%
01/21/21,22:35,23.0*C,35.7%
01/21/21,22:35,23.0*C,35.7%
01/21/21,22:36,23.0*C,35.8%
01/21/21,22:36,23.0*C,35.8%
01/21/21,22:37,23.0*C,35.7%
01/21/21,22:37,23.0*C,35.7%
01/21/21,22:38,22.9*C,35.7%
01/21/21,22:38,22.9*C,35.9%
01/21/21,22:39,22.9*C,36.0%
01/21/21,22:39,22.9*C,35.9%
01/21/21,22:40,22.9*C,36.0%
01/21/21,22:40,22.9*C,36.0%
01/21/21,22:41,22.8*C,35.9%
01/21/21,22:41,22.8*C,36.0%
01/21/21,22:42,22.8*C,36.0%
01/21/21,22:42,22.8*C,36.1%
01/21/21,22:43,22.8*C,36.1%
01/21/21,22:43,22.8*C,36.1%
01/21/21,22:44,22.8*C,36.2%
01/21/21,22:44,22.8*C,36.2%
01/21/21,22:45,22.7*C,36.2%
01/21/21,22:45,22.7*C,36.3%
01/21/21,22:46,22.7*C,36.3%
01/21/21,22:46,22.7*C,36.3%
01/21/21,22:47,22.7*C,36.3%
01/21/21,22:47,22.7*C,36.3%
01/21/21,22:48,22.7*C,36.3%
01/21/21,22:48,22.6*C,36.3%
01/21/21,22:49,22.6*C,36.3%
01/21/21,22:49,22.6*C,36.3%
01/21/21,22:50,22.6*C,36.4%
01/21/21,22:50,22.6*C,36.3%
01/21/21,22:51,22.6*C,36.4%
01/21/21,22:51,22.6*C,36.4%
01/21/21,22:52,22.6*C,36.4%
01/21/21,22:53,22.6*C,36.4%
01/21/21,22:53,22.6*C,36.3%
01/21/21,22:54,22.6*C,36.3%
01/21/21,22:54,22.5*C,36.3%
01/21/21,22:55,22.5*C,36.3%
01/21/21,22:55,22.6*C,36.4%
01/21/21,22:56,22.5*C,36.4%
01/21/21,22:56,22.6*C,36.3%
01/21/21,22:57,22.5*C,36.3%
01/21/21,22:57,22.5*C,36.3%
01/21/21,22:58,22.5*C,36.3%
01/21/21,22:58,22.5*C,36.1%
01/21/21,22:59,22.5*C,36.1%
01/21/21,22:59,22.5*C,36.0%
01/21/21,23:00,22.5*C,36.0%
01/21/21,23:00,22.5*C,35.7%
01/21/21,23:01,22.5*C,35.4%
01/21/21,23:01,22.5*C,35.9%
01/21/21,23:02,22.5*C,36.0%
01/21/21,23:02,22.4*C,35.9%
01/21/21,23:03,22.4*C,35.9%
01/21/21,23:03,22.4*C,35.8%
01/21/21,23:04,22.4*C,36.1%
01/21/21,23:04,22.4*C,36.0%
01/21/21,23:05,22.4*C,35.9%
01/21/21,23:05,22.4*C,36.0%
01/21/21,23:06,22.4*C,36.2%
01/21/21,23:06,22.4*C,36.3%
01/21/21,23:07,22.5*C,36.3%
01/21/21,23:07,22.5*C,36.4%
01/21/21,23:08,22.5*C,36.4%
01/21/21,23:08,22.5*C,36.3%
01/21/21,23:09,22.6*C,36.3%
01/21/21,23:10,22.5*C,36.2%
01/21/21,23:10,22.6*C,36.3%
01/21/21,23:11,22.6*C,36.3%
01/21/21,23:11,22.6*C,36.2%
01/21/21,23:12,22.6*C,36.2%
01/21/21,23:12,22.7*C,36.2%
01/21/21,23:13,22.7*C,36.3%
01/21/21,23:13,22.7*C,36.2%
01/21/21,23:14,22.7*C,36.2%
01/21/21,23:14,22.8*C,36.3%
01/21/21,23:15,22.7*C,36.2%
01/21/21,23:15,22.7*C,36.2%
01/21/21,23:16,22.8*C,36.2%
01/21/21,23:16,22.8*C,36.2%
01/21/21,23:17,22.8*C,36.1%
01/21/21,23:17,22.8*C,36.1%
01/21/21,23:18,22.9*C,36.1%
01/21/21,23:18,22.9*C,36.1%
01/21/21,23:19,22.9*C,37.8%
01/21/21,23:19,22.9*C,36.5%
01/21/21,23:20,23.0*C,36.9%
01/21/21,23:20,23.0*C,37.7%
01/21/21,23:21,23.0*C,36.7%
01/21/21,23:21,23.1*C,36.2%
01/21/21,23:22,23.1*C,36.8%
01/21/21,23:22,23.1*C,37.0%
01/21/21,23:23,23.1*C,36.6%
01/21/21,23:23,23.1*C,37.6%
01/21/21,23:24,23.2*C,36.4%
01/21/21,23:25,23.2*C,39.1%
01/21/21,23:25,23.2*C,37.1%
01/21/21,23:26,23.3*C,37.3%
01/21/21,23:26,23.3*C,38.1%
01/21/21,23:27,23.3*C,37.0%
01/21/21,23:27,23.4*C,36.6%
01/21/21,23:28,23.4*C,36.2%
01/21/21,23:28,23.4*C,35.8%
01/21/21,23:29,23.4*C,35.7%
01/21/21,23:29,23.4*C,35.6%
01/21/21,23:30,23.4*C,35.6%
01/21/21,23:30,23.4*C,35.6%
01/21/21,23:31,23.3*C,35.6%
01/21/21,23:31,23.3*C,35.6%
01/21/21,23:32,23.4*C,35.7%
01/21/21,23:32,23.4*C,35.7%
01/21/21,23:33,23.4*C,35.7%
01/21/21,23:33,23.4*C,35.7%
01/21/21,23:34,23.5*C,35.6%
01/21/21,23:34,23.4*C,35.6%
01/21/21,23:35,23.5*C,35.7%
01/21/21,23:35,23.5*C,35.7%
01/21/21,23:36,23.5*C,35.6%
01/21/21,23:36,23.5*C,35.6%
01/21/21,23:37,23.5*C,35.6%
01/21/21,23:37,23.5*C,35.7%
01/21/21,23:38,23.6*C,35.6%
01/21/21,23:38,23.6*C,35.7%
01/21/21,23:39,23.6*C,35.7%
01/21/21,23:39,23.7*C,35.8%
01/21/21,23:40,23.7*C,35.8%
01/21/21,23:40,23.7*C,35.7%
01/21/21,23:41,23.7*C,35.8%
01/21/21,23:42,23.8*C,35.8%
01/21/21,23:42,23.8*C,35.9%
01/21/21,23:43,23.8*C,35.9%
01/21/21,23:43,23.8*C,35.9%
01/21/21,23:44,23.8*C,35.9%
01/21/21,23:44,23.8*C,35.9%
01/21/21,23:45,23.9*C,36.0%
01/21/21,23:45,23.9*C,36.1%
01/21/21,23:46,23.9*C,36.0%
01/21/21,23:46,23.9*C,36.1%
01/21/21,23:47,23.9*C,36.1%
01/21/21,23:47,23.9*C,36.1%
01/21/21,23:48,23.9*C,36.1%
01/21/21,23:49,23.9*C,36.1%
01/21/21,23:49,23.9*C,36.2%
01/21/21,23:50,23.9*C,36.1%
01/21/21,23:50,23.9*C,36.2%
01/21/21,23:51,23.9*C,36.1%
01/21/21,23:51,24.0*C,36.2%
01/21/21,23:52,23.9*C,36.1%
01/21/21,23:52,24.0*C,36.3%
01/21/21,23:53,24.0*C,36.2%
01/21/21,23:53,24.0*C,36.2%
01/21/21,23:54,24.0*C,36.2%
01/21/21,23:54,24.0*C,36.2%
01/21/21,23:55,24.0*C,36.1%
01/21/21,23:55,24.1*C,36.2%
01/21/21,23:56,24.1*C,36.2%
01/21/21,23:56,24.1*C,36.2%
01/21/21,23:57,24.1*C,36.3%
01/21/21,23:57,24.0*C,36.2%
01/21/21,23:58,24.1*C,36.2%
01/21/21,23:58,24.1*C,36.2%
01/21/21,23:59,24.0*C,36.2%
01/21/21,23:59,24.1*C,36.3%
01/22/21,00:00,24.1*C,36.3%
01/22/21,00:00,24.0*C,36.2%
01/22/21,00:01,24.0*C,36.2%
01/22/21,00:01,24.1*C,36.3%
01/22/21,00:02,24.1*C,36.3%
01/22/21,00:02,24.1*C,36.3%
01/22/21,00:03,24.1*C,36.3%
01/22/21,00:03,24.1*C,36.3%
01/22/21,00:04,24.1*C,36.3%
01/22/21,00:05,24.1*C,36.3%
01/22/21,00:05,24.1*C,36.3%
01/22/21,00:06,24.1*C,36.3%
01/22/21,00:06,24.1*C,36.3%
01/22/21,00:07,24.1*C,36.4%
01/22/21,00:07,24.1*C,36.4%
01/22/21,00:08,24.1*C,36.4%
01/22/21,00:08,24.1*C,36.3%
01/22/21,00:09,24.1*C,36.3%
01/22/21,00:09,24.1*C,36.4%
01/22/21,00:10,24.1*C,36.3%
01/22/21,00:10,24.1*C,36.4%
01/22/21,00:11,24.1*C,36.3%
01/22/21,00:11,24.1*C,36.4%
01/22/21,00:12,24.1*C,36.4%
01/22/21,00:12,24.1*C,36.4%
01/22/21,00:13,24.1*C,36.4%
01/22/21,00:13,24.1*C,36.4%
01/22/21,00:14,24.1*C,36.5%
01/22/21,00:14,24.1*C,36.4%
01/22/21,00:15,24.1*C,36.5%
01/22/21,00:15,24.1*C,36.5%
01/22/21,00:16,24.1*C,36.5%
01/22/21,00:16,24.1*C,36.5%
01/22/21,00:17,24.1*C,36.5%
01/22/21,00:17,24.1*C,36.4%
01/22/21,00:18,24.1*C,36.4%
01/22/21,00:18,24.1*C,36.4%
01/22/21,00:19,24.1*C,36.4%
01/22/21,00:19,24.1*C,36.5%
01/22/21,00:20,24.1*C,36.4%
01/22/21,00:20,24.1*C,36.4%
01/22/21,00:21,24.1*C,36.4%
01/22/21,00:21,24.1*C,36.4%
01/22/21,00:22,24.1*C,36.4%
01/22/21,00:22,24.1*C,36.4%
01/22/21,00:23,24.1*C,36.5%
01/22/21,00:23,24.1*C,36.4%
01/22/21,00:24,24.1*C,36.4%
01/22/21,00:24,24.1*C,36.5%
01/22/21,00:25,24.1*C,36.4%
01/22/21,00:25,24.1*C,36.4%
01/22/21,00:26,24.1*C,36.4%
01/22/21,00:26,24.1*C,36.4%
01/22/21,00:27,24.1*C,35.9%
01/22/21,00:27,24.1*C,36.4%
01/22/21,00:28,24.1*C,36.4%
01/22/21,00:28,24.1*C,36.4%
01/22/21,00:29,24.1*C,36.4%
01/22/21,00:30,24.1*C,36.4%
01/22/21,00:30,24.1*C,36.4%
01/22/21,00:31,24.1*C,36.4%
01/22/21,00:31,24.1*C,36.4%
01/22/21,00:32,24.1*C,36.4%
01/22/21,00:32,24.1*C,36.4%
01/22/21,00:33,24.1*C,36.4%
01/22/21,00:33,24.0*C,36.4%
01/22/21,00:34,24.0*C,36.4%
01/22/21,00:34,24.0*C,36.4%
01/22/21,00:35,24.0*C,36.4%
01/22/21,00:35,24.0*C,36.4%
01/22/21,00:36,24.0*C,36.4%
01/22/21,00:36,24.0*C,36.4%
01/22/21,00:37,23.9*C,36.4%
01/22/21,00:37,23.9*C,36.4%
01/22/21,00:38,23.9*C,36.4%
01/22/21,00:38,23.9*C,36.5%
01/22/21,00:39,23.9*C,36.5%
01/22/21,00:39,23.9*C,36.6%
01/22/21,00:40,23.8*C,36.5%
01/22/21,00:40,23.8*C,36.5%
01/22/21,00:41,23.8*C,36.6%
01/22/21,00:41,23.8*C,36.6%
01/22/21,00:42,23.8*C,36.5%
01/22/21,00:42,23.8*C,36.6%
01/22/21,00:43,23.8*C,36.6%
01/22/21,00:43,23.8*C,36.6%
01/22/21,00:44,23.7*C,36.5%
01/22/21,00:44,23.7*C,36.3%
01/22/21,00:45,23.7*C,36.2%
01/22/21,00:45,23.7*C,36.5%
01/22/21,00:46,23.7*C,36.5%
01/22/21,00:46,23.7*C,36.5%
01/22/21,00:47,23.7*C,36.5%
01/22/21,00:47,23.7*C,36.5%
01/22/21,00:48,23.7*C,36.6%
01/22/21,00:48,23.7*C,36.6%
01/22/21,00:49,23.7*C,36.5%
01/22/21,00:49,23.7*C,36.5%
01/22/21,00:50,23.7*C,36.5%
01/22/21,00:50,23.8*C,36.6%
01/22/21,00:51,23.8*C,36.6%
01/22/21,00:51,23.8*C,36.6%
01/22/21,00:52,23.8*C,36.9%
01/22/21,00:53,23.8*C,36.9%
01/22/21,00:53,23.8*C,36.8%
01/22/21,00:54,23.9*C,37.3%
01/22/21,00:54,23.9*C,36.6%
01/22/21,00:55,23.9*C,36.7%
01/22/21,00:55,23.9*C,36.6%
01/22/21,00:56,23.9*C,36.5%
01/22/21,00:56,24.0*C,36.6%
01/22/21,00:57,23.9*C,36.2%
01/22/21,00:57,24.0*C,36.3%
01/22/21,00:58,24.0*C,36.3%
01/22/21,00:58,24.0*C,36.3%
01/22/21,00:59,24.0*C,36.3%
01/22/21,00:59,24.0*C,36.2%
01/22/21,01:00,24.0*C,36.2%
01/22/21,01:00,24.0*C,36.2%
01/22/21,01:01,23.9*C,36.1%
01/22/21,01:01,23.9*C,36.1%
01/22/21,01:02,24.0*C,36.2%
01/22/21,01:02,23.9*C,36.1%
01/22/21,01:03,24.0*C,36.1%
01/22/21,01:03,24.0*C,36.1%
01/22/21,01:04,24.0*C,36.1%
01/22/21,01:04,24.0*C,36.1%
01/22/21,01:05,24.0*C,36.0%
01/22/21,01:05,24.0*C,36.0%
01/22/21,01:06,24.0*C,36.0%
01/22/21,01:06,24.0*C,36.0%
01/22/21,01:07,24.0*C,36.0%
01/22/21,01:08,24.1*C,36.0%
01/22/21,01:08,24.1*C,35.9%
01/22/21,01:09,24.1*C,35.9%
01/22/21,01:09,24.1*C,35.9%
01/22/21,01:10,24.1*C,35.9%
01/22/21,01:10,24.1*C,35.9%
01/22/21,01:11,24.1*C,35.9%
01/22/21,01:11,24.1*C,35.9%
01/22/21,01:12,24.1*C,35.9%
01/22/21,01:12,24.1*C,35.9%
01/22/21,01:13,24.1*C,35.8%
01/22/21,01:13,24.1*C,35.8%
01/22/21,01:14,24.1*C,35.8%
01/22/21,01:14,24.1*C,35.8%
01/22/21,01:15,24.1*C,35.7%
01/22/21,01:15,24.1*C,35.7%
01/22/21,01:16,24.1*C,35.7%
01/22/21,01:16,24.1*C,35.7%
01/22/21,01:17,24.1*C,35.7%
01/22/21,01:17,24.1*C,35.6%
01/22/21,01:18,24.1*C,35.6%
01/22/21,01:18,24.1*C,35.6%
01/22/21,01:19,24.1*C,35.6%
01/22/21,01:19,24.2*C,35.7%
01/22/21,01:20,24.1*C,35.6%
01/22/21,01:20,24.2*C,35.6%
01/22/21,01:21,24.2*C,35.6%
01/22/21,01:21,24.2*C,35.6%
01/22/21,01:22,24.2*C,35.6%
01/22/21,01:22,24.2*C,35.6%
01/22/21,01:23,24.2*C,35.5%
01/22/21,01:23,24.2*C,35.5%
01/22/21,01:24,24.2*C,35.5%
01/22/21,01:24,24.2*C,35.5%
01/22/21,01:25,24.2*C,35.5%
01/22/21,01:26,24.2*C,35.5%
01/22/21,01:26,24.2*C,35.5%
01/22/21,01:27,24.2*C,35.5%
01/22/21,01:27,24.2*C,35.5%
01/22/21,01:28,24.2*C,35.5%
01/22/21,01:28,24.2*C,35.5%
01/22/21,01:29,24.2*C,35.5%
01/22/21,01:29,24.2*C,35.5%
01/22/21,01:30,24.2*C,35.5%
01/22/21,01:30,24.2*C,35.5%
01/22/21,01:31,24.2*C,35.5%
01/22/21,01:31,24.2*C,35.5%
01/22/21,01:32,24.2*C,35.5%
01/22/21,01:32,24.1*C,35.5%
01/22/21,01:33,24.1*C,35.5%
01/22/21,01:33,24.1*C,35.4%
01/22/21,01:34,24.1*C,35.4%
01/22/21,01:34,24.1*C,35.5%
01/22/21,01:35,24.1*C,35.5%
01/22/21,01:35,24.2*C,35.5%
01/22/21,01:36,24.1*C,35.5%
01/22/21,01:36,24.1*C,35.4%
01/22/21,01:37,24.2*C,35.5%
01/22/21,01:37,24.2*C,35.5%
01/22/21,01:38,24.1*C,35.4%
01/22/21,01:38,24.1*C,35.4%
01/22/21,01:39,24.1*C,35.4%
01/22/21,01:39,24.1*C,35.4%
01/22/21,01:40,24.1*C,35.4%
01/22/21,01:40,24.1*C,35.4%
01/22/21,01:41,24.1*C,35.5%
01/22/21,01:41,24.1*C,35.4%
01/22/21,01:42,24.1*C,35.4%
01/22/21,01:42,24.1*C,35.4%
01/22/21,01:43,24.1*C,35.4%
01/22/21,01:43,24.1*C,35.4%
01/22/21,01:44,24.1*C,35.4%
01/22/21,01:44,24.1*C,35.4%
01/22/21,01:45,24.1*C,35.3%
01/22/21,01:45,24.1*C,35.4%
01/22/21,01:46,24.1*C,35.4%
01/22/21,01:47,24.1*C,35.4%
01/22/21,01:47,24.1*C,35.4%
01/22/21,01:48,24.1*C,35.3%
01/22/21,01:48,24.1*C,35.3%
01/22/21,01:49,24.1*C,35.3%
01/22/21,01:49,24.1*C,35.3%
01/22/21,01:50,24.1*C,35.4%
01/22/21,01:50,24.1*C,35.3%
01/22/21,01:51,24.1*C,35.3%
01/22/21,01:51,24.1*C,35.4%
01/22/21,01:52,24.1*C,35.3%
01/22/21,01:52,24.1*C,35.3%
01/22/21,01:53,24.1*C,35.4%
01/22/21,01:53,24.1*C,35.3%
01/22/21,01:54,24.1*C,35.3%
01/22/21,01:54,24.1*C,35.3%
01/22/21,01:55,24.1*C,35.3%
01/22/21,01:55,24.1*C,35.3%
01/22/21,01:56,24.1*C,35.3%
01/22/21,01:56,24.1*C,35.3%
01/22/21,01:57,24.1*C,35.3%
01/22/21,01:57,24.1*C,35.3%
01/22/21,01:58,24.1*C,35.3%
01/22/21,01:58,24.1*C,35.2%
01/22/21,01:59,24.1*C,35.3%
01/22/21,01:59,24.2*C,35.3%
01/22/21,02:00,24.1*C,35.2%
01/22/21,02:00,24.2*C,35.2%
01/22/21,02:01,24.2*C,35.1%
01/22/21,02:01,24.2*C,35.1%
01/22/21,02:02,24.2*C,35.1%
01/22/21,02:02,24.2*C,35.1%
01/22/21,02:03,24.2*C,35.1%
01/22/21,02:04,24.2*C,35.1%
01/22/21,02:04,24.3*C,35.1%
01/22/21,02:05,24.3*C,35.1%
01/22/21,02:05,24.3*C,35.1%
01/22/21,02:06,24.3*C,35.1%
01/22/21,02:06,24.3*C,35.1%
01/22/21,02:07,24.3*C,35.0%
01/22/21,02:07,24.3*C,35.0%
01/22/21,02:08,24.3*C,35.0%
01/22/21,02:08,24.3*C,35.0%
01/22/21,02:09,24.3*C,34.9%
01/22/21,02:09,24.3*C,34.9%
01/22/21,02:10,24.3*C,34.9%
01/22/21,02:10,24.3*C,34.9%
01/22/21,02:11,24.3*C,34.9%
